make,model,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,injury_severity,aircraft_damage,broad_phase_of_flight,weather_condition,number_of_engines,engine_type,aircraft_category
Smith,AEROSTAR 600,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Descent,VMC,2.0,Reciprocating,Airplane
Grumman,G-164A,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,210B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Christian,EAGLE II,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,175A,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Bellanca,7GCBC,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,A150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Bell,206L,0.0,0.0,0.0,6.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Beech,V35B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,207,0.0,0.0,2.0,4.0,Non-Fatal,Substantial,Takeoff,IMC,1.0,Reciprocating,Airplane
Piper,PA-24-250,1.0,3.0,0.0,0.0,Fatal(1),Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,0.0,0.0,0.0,7.0,Incident,Minor,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,1.0,1.0,Non-Fatal,Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,182E,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Unknown,VMC,1.0,Reciprocating,Airplane
Piper,PA-18,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Funk Aircraft Co.,B75L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Benson,BM8,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Gyrocraft
Bell,47G,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Beech,M35,0.0,0.0,0.0,2.0,Incident,Minor,Cruise,VMC,1.0,Reciprocating,Airplane
Grumman,AA-1A,0.0,0.0,2.0,1.0,Non-Fatal,Minor,Approach,VMC,1.0,Reciprocating,Airplane
Hughes,269B,0.0,0.0,1.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Helicopter
Boeing,E75,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Mong Sport,MS-1,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Boeing,A75N1,0.0,0.0,0.0,3.0,Non-Fatal,Minor,Landing,VMC,1.0,Reciprocating,Airplane
Grumman,AA-5B,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-250,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Go-around,VMC,1.0,Reciprocating,Airplane
Robinson,R-22,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Helicopter
Beech,A24R,0.0,0.0,2.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150M,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-23,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Mooney,M20E,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,C35,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172E,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,A188,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-18A,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Robinson,R-22HP,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
Cessna,TU-206A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Unknown,UNK,1.0,Reciprocating,Airplane
Rayan,NAV-4,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Starfire,JRF,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,170B,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Mooney,M20A,0.0,2.0,0.0,2.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172M,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Great Lakes,2T-1A-2,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Grumman,AA-5B,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Hiller,UH-12A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Beech,35-33,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,M35,0.0,0.0,1.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Osprey,2,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Boeing,E75,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,IMC,2.0,Reciprocating,Airplane
Beech,56TC,0.0,0.0,0.0,5.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Piper,PA-12,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Hudson,2-2-2E,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Champion,7GCAA,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Rockwell Intl,S-2R,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Turbo Prop,Airplane
Piper,PA-18-150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Hughes,269C,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Standing,VMC,1.0,Reciprocating,Helicopter
Piper,PA-25-235,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-25-235,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150H,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,F33A,0.0,0.0,0.0,1.0,Incident,Minor,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,188B,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,UNK,1.0,Reciprocating,Airplane
Cessna,182M,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Grumman,G-164B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Turbo Prop,Airplane
Sikorsky,S-55B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Hughes,369HS,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Turbo Shaft,Helicopter
Continental,TOMCAT MK6C,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Beech,B90,7.0,0.0,0.0,0.0,Fatal(7),Destroyed,Cruise,VMC,2.0,Turbo Prop,Airplane
Cessna,150F,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,207,1.0,1.0,0.0,0.0,Fatal(1),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Hughes,369HS,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Gates Learjet,23,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Descent,VMC,2.0,Turbo Jet,Airplane
Cessna,182P,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,U206,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-38,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-34-200T,0.0,0.0,0.0,5.0,Non-Fatal,Substantial,Landing,IMC,2.0,Reciprocating,Airplane
Piper,PA-28R-180,0.0,1.0,1.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,402A,0.0,0.0,0.0,8.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Bellanca,17-30,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Go-around,VMC,1.0,Reciprocating,Airplane
Mooney,M20G,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172K,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,T210M,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Scorpion,133,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Boeing,A75,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-18,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Aerospatiale,SA-319B,0.0,0.0,0.0,5.0,Non-Fatal,Substantial,Climb,VMC,1.0,Turbo Shaft,Helicopter
Cessna,172,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Go-around,VMC,1.0,Reciprocating,Airplane
"Thunder Balloons, Ltd.",LTD.,0.0,2.0,2.0,0.0,Non-Fatal,Minor,Takeoff,VMC,0.0,Unknown,Balloon
Smith Aerostar,600,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Climb,IMC,2.0,Reciprocating,Airplane
Moore Bell,47D1,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Landing,VMC,1.0,Reciprocating,Helicopter
Beech,J35,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Descent,IMC,1.0,Reciprocating,Airplane
Bellanca,8KCAB,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Boeing,A75N1,1.0,0.0,0.0,1.0,Fatal(1),Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Blanik,L-13,1.0,0.0,0.0,2.0,Fatal(1),Substantial,Landing,VMC,0.0,Unknown,Glider
Cessna,150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,4.0,Reciprocating,Airplane
Cessna,180,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Helio,H-395,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,195,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Taylor,MONOPLANE,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Grumman,G164A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-200,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Luscombe,8A,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172N,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,T210M,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,182E,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,A185F,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,A36,0.0,3.0,2.0,0.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Bellanca,14-19,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-150,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Bellanca,17-31ATC,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-32-300,0.0,0.0,1.0,4.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Lake,LA-4,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Brantley,B-2B,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Cruise,VMC,1.0,Reciprocating,Helicopter
Cessna,A150L,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Beech,35-B33,0.0,0.0,0.0,5.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Bellanca,7ECA,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
De Havilland,2,0.0,0.0,0.0,10.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172,2.0,2.0,0.0,0.0,Fatal(2),Destroyed,Cruise,UNK,1.0,Reciprocating,Airplane
Cessna,172C,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Bryan,HP-18,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,0.0,Unknown,Glider
Piper,PA-38-112,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Bell 47g-3b,(SOLOY CONVERSION),0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Helicopter
Maule,M-4,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Piper,PA-12,2.0,0.0,0.0,0.0,Fatal(2),Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,A23-24,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,J3C-75,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Grumman,G164B,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-32R-300,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Beech,E33,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Piper,PA-16,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,2.0,1.0,1.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Gulfstream American,980(695),2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Takeoff,VMC,2.0,Turbo Prop,Airplane
Piper,PA-28-161,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA 28-181,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,T210N,0.0,1.0,4.0,0.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,172K,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,172P,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Hiller,12E,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Helicopter
Piper,18,1.0,1.0,0.0,0.0,Fatal(1),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172P,0.0,2.0,1.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,402B,0.0,0.0,0.0,8.0,Incident,Minor,Taxi,VMC,2.0,Reciprocating,Airplane
Grumman,G-164A,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,UNK,1.0,Reciprocating,Airplane
Cessna,A185F,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,180,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
